CaseID,Activity,Duration,Timestamp,Duration Float,Time to conclusion,Passed Time,Step,Prefix,Activity Cat
5523425/2021,cexatcaucaia-distribuído,0 days 01:22:17.160000,2021-06-10 18:19:38.475,0.0571,91.6077,91.6073,3,"cexatcaucaia-protocolizado,cexatcaucaia-aguardandodistribuição,cexatcaucaia-distribuído",21
5523425/2021,nuatmcaucaia-aguardandoanálisedoprocesso,0 days 00:00:33.824000,2021-06-10 18:20:12.299,0.0004,91.6073,91.6077,4,"cexatcaucaia-protocolizado,cexatcaucaia-aguardandodistribuição,cexatcaucaia-distribuído,nuatmcaucaia-aguardandoanálisedoprocesso",202
5523425/2021,nuatmcaucaia-providenciado,91 days 14:34:14.142000,2021-09-10 08:54:26.441,91.6071,0.0002,91.6648,5,"cexatcaucaia-protocolizado,cexatcaucaia-aguardandodistribuição,cexatcaucaia-distribuído,nuatmcaucaia-aguardandoanálisedoprocesso,nuatmcaucaia-providenciado",209
5523425/2021,nuatmcaucaia-arquivado,0 days 00:00:20.877000,2021-09-10 08:54:47.318,0.0002,0.0,91.6648,6,"cexatcaucaia-protocolizado,cexatcaucaia-aguardandodistribuição,cexatcaucaia-distribuído,nuatmcaucaia-aguardandoanálisedoprocesso,nuatmcaucaia-providenciado,nuatmcaucaia-arquivado",205
5524197/2021,cexataguafria-protocolizado,0 days 00:00:00,2021-06-10 17:21:55.556,0.0,6.2316,-0.0,1,cexataguafria-protocolizado,13
5524197/2021,cexataguafria-aguardandodistribuição,0 days 00:00:00.005000,2021-06-10 17:21:55.561,0.0,6.2316,2.6048,2,"cexataguafria-protocolizado,cexataguafria-aguardandodistribuição",7
5524197/2021,cexataguafria-distribuído,0 days 12:47:50.445000,2021-06-11 06:09:46.006,0.5332,5.6984,4.9079,3,"cexataguafria-protocolizado,cexataguafria-aguardandodistribuição,cexataguafria-distribuído",11
5524197/2021,cexataguafria-aguardandoanálisedoprocesso,0 days 00:00:10.310000,2021-06-11 06:09:56.316,0.0001,5.6983,4.9082,4,"cexataguafria-protocolizado,cexataguafria-aguardandodistribuição,cexataguafria-distribuído,cexataguafria-aguardandoanálisedoprocesso",3
5524197/2021,cexataguafria-processoanalisado,0 days 18:57:45.903000,2021-06-12 01:07:42.219,0.7901,4.9082,5.6983,5,"cexataguafria-protocolizado,cexataguafria-aguardandodistribuição,cexataguafria-distribuído,cexataguafria-aguardandoanálisedoprocesso,cexataguafria-processoanalisado",12
5524197/2021,cexataguafria-aguardandociênciadosolicitante,0 days 00:00:23.274000,2021-06-12 01:08:05.493,0.0003,4.9079,5.6984,6,"cexataguafria-protocolizado,cexataguafria-aguardandodistribuição,cexataguafria-distribuído,cexataguafria-aguardandoanálisedoprocesso,cexataguafria-processoanalisado,cexataguafria-aguardandociênciadosolicitante",6
5524197/2021,cexataguafria-solicitanteciente,2 days 07:16:29.636000,2021-06-14 08:24:35.129,2.3031,2.6048,6.2316,7,"cexataguafria-protocolizado,cexataguafria-aguardandodistribuição,cexataguafria-distribuído,cexataguafria-aguardandoanálisedoprocesso,cexataguafria-processoanalisado,cexataguafria-aguardandociênciadosolicitante,cexataguafria-solicitanteciente",17
5524197/2021,cexataguafria-arquivado,2 days 14:30:51.649000,2021-06-16 22:55:26.778,2.6048,-0.0,6.2316,8,"cexataguafria-protocolizado,cexataguafria-aguardandodistribuição,cexataguafria-distribuído,cexataguafria-aguardandoanálisedoprocesso,cexataguafria-processoanalisado,cexataguafria-aguardandociênciadosolicitante,cexataguafria-solicitanteciente,cexataguafria-arquivado",10
5524375/2021,cexatáguafria-protocolizado,0 days 00:00:00,2021-06-10 17:26:12.728,0.0,53.8389,-0.0,1,cexatáguafria-protocolizado,92
5524375/2021,cexatáguafria-aguardandodistribuição,0 days 00:00:00.003000,2021-06-10 17:26:12.731,0.0,53.8389,43.2341,2,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição",82
5524375/2021,cexatáguafria-distribuído,0 days 12:58:46.760000,2021-06-11 06:24:59.491,0.5408,53.2981,53.1386,3,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído",87
5524375/2021,cexatáguafria-aguardandoanálisedoprocesso,0 days 00:00:08.820000,2021-06-11 06:25:08.311,0.0001,53.298,53.1389,4,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído,cexatáguafria-aguardandoanálisedoprocesso",78
5524375/2021,cexatáguafria-redirecionado,0 days 03:49:08.193000,2021-06-11 10:14:08.431,0.1591,53.1389,53.298,5,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-redirecionado",94
5524375/2021,cexatáguafria-aguardandoanálisedoprocesso,0 days 00:00:26.020000,2021-06-11 10:14:42.524,0.0003,53.1386,53.2981,6,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-redirecionado,cexatáguafria-aguardandoanálisedoprocesso",78
5524375/2021,cexatáguafria-processoanalisado,9 days 21:42:32.676000,2021-06-21 07:57:15.200,9.9045,43.2341,53.8389,7,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-redirecionado,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-processoanalisado",91
5524375/2021,cexatáguafria-arquivado,43 days 05:37:02.737000,2021-08-03 13:34:17.937,43.2341,-0.0,53.8389,8,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição,cexatáguafria-distribuído,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-redirecionado,cexatáguafria-aguardandoanálisedoprocesso,cexatáguafria-processoanalisado,cexatáguafria-arquivado",86
5542098/2021,nuatmcentro-protocolizado,0 days 00:00:00,2021-06-11 09:33:07.554,0.0,3.9763,-0.0,1,nuatmcentro-protocolizado,218
5542098/2021,nuatmcentro-aguardandodistribuição,0 days 00:00:00.009000,2021-06-11 09:33:07.563,0.0,3.9763,0.0002,2,"nuatmcentro-protocolizado,nuatmcentro-aguardandodistribuição",214
5542098/2021,nuatmcentro-distribuído,0 days 06:19:13.632000,2021-06-11 11:20:04.660,0.2634,3.7129,0.9098,3,"nuatmcentro-protocolizado,nuatmcentro-aguardandodistribuição,nuatmcentro-distribuído",217
5542098/2021,nuamcentro-aguardandoanálise,2 days 19:16:31.818000,2021-06-14 11:08:53.013,2.8031,0.9098,3.7129,4,"nuatmcentro-protocolizado,nuatmcentro-aguardandodistribuição,nuatmcentro-distribuído,nuamcentro-aguardandoanálise",111
5542098/2021,nuamcentro-analisado,0 days 21:49:46.641000,2021-06-15 08:58:39.654,0.9096,0.0002,3.9763,5,"nuatmcentro-protocolizado,nuatmcentro-aguardandodistribuição,nuatmcentro-distribuído,nuamcentro-aguardandoanálise,nuamcentro-analisado",121
5542098/2021,nuamcentro-arquivado,0 days 00:00:17.506000,2021-06-15 08:58:57.160,0.0002,-0.0,3.9763,6,"nuatmcentro-protocolizado,nuatmcentro-aguardandodistribuição,nuatmcentro-distribuído,nuamcentro-aguardandoanálise,nuamcentro-analisado,nuamcentro-arquivado",122
5545526/2021,cexatáguafria-protocolizado,0 days 00:00:00,2021-06-11 10:22:27.304,0.0,6.9971,0.0,1,cexatáguafria-protocolizado,92
5545526/2021,cexatáguafria-aguardandodistribuição,0 days 00:00:00.008000,2021-06-11 10:22:27.312,0.0,6.9971,0.0003,2,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição",82
5545526/2021,cexatáguafria-aguardandociênciadosolicitante,0 days 23:20:11.895000,2021-06-12 09:42:39.207,0.9724,6.0247,6.0247,3,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição,cexatáguafria-aguardandociênciadosolicitante",81
5545526/2021,cexatáguafria-solicitantenãociente,6 days 00:35:07.890000,2021-06-18 10:17:47.097,6.0244,0.0003,6.9971,4,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição,cexatáguafria-aguardandociênciadosolicitante,cexatáguafria-solicitantenãociente",96
5545526/2021,cexatáguafria-arquivado,0 days 00:00:23.667000,2021-06-18 10:18:10.764,0.0003,0.0,6.9971,5,"cexatáguafria-protocolizado,cexatáguafria-aguardandodistribuição,cexatáguafria-aguardandociênciadosolicitante,cexatáguafria-solicitantenãociente,cexatáguafria-arquivado",86
